run_name,group,recipe_description,components,train_rows,train_skipped_rows,val_rows,val_skipped_rows,train_keep_ratio,val_keep_ratio,train_loss,eval_loss,train_runtime_s,train_steps_per_second,train_samples_per_second,eval_runtime_s,eval_steps_per_second,eval_samples_per_second,best_global_step,best_model_checkpoint,best_metric,global_step,max_steps,best_adapter_bytes,final_adapter_bytes,adapter_size_ratio_final_to_best,train_avg_seq_len,val_avg_seq_len
2026-04-03_stage1_A_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,A,Hermes only,"{""hermes"": 5000}",4750,0,250,0,1.0,1.0,0.6168801961121736,0.4943479001522064,976.5155,0.304,4.864,22.1385,11.293,11.293,,/content/post-Train-proj/runs/2026-04-03_stage1_A_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.4943479001522064,297,,87361592,174655536,1.9992256551368708,1351.46,1367.6
2026-04-04_stage1_B_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,B,Hermes + xLAM,"{""hermes"": 4375, ""xlam"": 625}",4749,0,251,0,1.0,1.0,0.601061690937389,0.4162077903747558,915.6392,0.324,5.187,19.7581,12.704,12.704,200.0,/content/post-Train-proj/runs/2026-04-04_stage1_B_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.4162077903747558,297,,87361592,174655536,1.9992256551368708,1239.9,1169.42
2026-04-03_stage1_C_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,C,Hermes + xLAM + Step,"{""hermes"": 3500, ""xlam"": 500, ""step20k"": 1000}",4750,0,250,0,1.0,1.0,0.8023134160924841,0.5123333930969238,1082.8224,0.274,4.387,23.209,10.772,10.772,,/content/post-Train-proj/runs/2026-04-03_stage1_C_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.5123333930969238,297,,87361592,174655536,1.9992256551368708,1512.06,1424.26
2026-04-04_stage1_D_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,D,Hermes + Step,"{""hermes"": 4000, ""step20k"": 1000}",4750,0,250,0,1.0,1.0,0.7950680906122382,0.5757744312286377,1134.7411,0.262,4.186,23.6881,10.554,10.554,200.0,/content/post-Train-proj/runs/2026-04-04_stage1_D_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.5757744312286377,297,,87361592,174655536,1.9992256551368708,1616.4,1469.76
2026-04-04_stage1_E_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,E,xLAM only,"{""xlam"": 5000}",4750,0,250,0,1.0,1.0,0.1107273867184465,0.0303755160421133,505.6061,0.587,9.395,10.9395,22.853,22.853,200.0,/content/post-Train-proj/runs/2026-04-04_stage1_E_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.0303755160421133,297,,87361592,174655536,1.9992256551368708,465.68,472.23
2026-04-03_stage1_F_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,F,Qwen3.5 FC2 only,"{""qwen35_train"": 5000}",4750,0,250,0,1.0,1.0,0.4777733460821287,0.4432779550552368,1612.2154,0.184,2.946,38.9531,6.418,6.418,,/content/post-Train-proj/runs/2026-04-03_stage1_F_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.4432779550552368,297,,87361592,174655536,1.9992256551368708,2370.52,2552.8
2026-04-04_stage1_G_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,G,Glaive FC v2 only,"{""glaive"": 5000}",4750,0,250,0,1.0,1.0,0.5690837733271948,0.3389001488685608,532.4565,0.558,8.921,11.7263,21.32,21.32,200.0,/content/post-Train-proj/runs/2026-04-04_stage1_G_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.3389001488685608,297,,87361592,174655536,1.9992256551368708,507.79,525.3
2026-04-04_stage1_H_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,H,Step tool-call only,"{""step_toolcall"": 5000}",4750,0,250,0,1.0,1.0,0.5658154311003508,0.4169209003448486,2540.5421,0.117,1.87,53.0224,4.715,4.715,200.0,/content/post-Train-proj/runs/2026-04-04_stage1_H_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.4169209003448486,297,,87361592,174655536,1.9992256551368708,3740.2,3480.21
2026-04-04_stage1_I_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42,I,Step tool-call + Step general (4:1),"{""step_toolcall"": 4000, ""step20k"": 1000}",4750,0,250,0,1.0,1.0,0.7246365338463574,0.4891101121902466,2372.7361,0.125,2.002,53.2111,4.698,4.698,200.0,/content/post-Train-proj/runs/2026-04-04_stage1_I_qwen3-8b_lr2e-05_r16_e1_seq8192_pack0_seed42/trainer_output/checkpoint-200,0.4891101121902466,297,,87361592,174655536,1.9992256551368708,3489.42,3489.25
